geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
6,55,-119.6638459,37.21530826,-89.73293306,44.63994411,01/01/2019,939,16869
6,56,-119.6638459,37.21530826,-107.5513942,42.99953746,01/01/2019,611,10976
6,72,-119.6638459,37.21530826,-66.41466678,18.21569834,01/01/2019,169,3036
8,1,-105.5478211,38.9985316,-86.844521,32.75687994,01/01/2019,301,4543
8,2,-105.5478211,38.9985316,-151.5934219,63.74298902,01/01/2019,108,1630
8,4,-105.5478211,38.9985316,-111.6644603,34.29309519,01/01/2019,2792,42147
8,5,-105.5478211,38.9985316,-92.43923686,34.89977242,01/01/2019,251,3789
8,6,-105.5478211,38.9985316,-119.6638459,37.21530826,01/01/2019,5573,84128
8,8,-105.5478211,38.9985316,-105.5478211,38.9985316,01/01/2019,525959,7939725
8,9,-105.5478211,38.9985316,-72.73825768,41.57516415,01/01/2019,122,1841
8,10,-105.5478211,38.9985316,-75.45249263,38.99497529,01/01/2019,15,226
8,11,-105.5478211,38.9985316,-77.0162909,38.90477389,01/01/2019,108,1630
8,12,-105.5478211,38.9985316,-82.46641839,28.47705841,01/01/2019,3634,54857
8,13,-105.5478211,38.9985316,-83.42714021,32.63861711,01/01/2019,720,10868
8,15,-105.5478211,38.9985316,-158.1099738,20.9951112,01/01/2019,1005,15171
8,16,-105.5478211,38.9985316,-114.659414,44.38905509,01/01/2019,338,5102
8,17,-105.5478211,38.9985316,-89.14863899,40.12420083,01/01/2019,1389,20967
8,18,-105.5478211,38.9985316,-86.28183839,39.91986962,01/01/2019,440,6642
8,19,-105.5478211,38.9985316,-93.50009012,42.07464833,01/01/2019,486,7336
8,20,-105.5478211,38.9985316,-98.3801554,38.48472707,01/01/2019,1149,17344
8,21,-105.5478211,38.9985316,-85.29055223,37.52661417,01/01/2019,215,3245
8,22,-105.5478211,38.9985316,-91.81423318,30.9090729,01/01/2019,530,8000
8,23,-105.5478211,38.9985316,-69.20275986,45.27432853,01/01/2019,60,905
8,24,-105.5478211,38.9985316,-76.68717734,38.94649396,01/01/2019,311,4694
8,25,-105.5478211,38.9985316,-71.50397204,42.16009327,01/01/2019,253,3819
8,26,-105.5478211,38.9985316,-85.73095291,44.8747736,01/01/2019,579,8740
8,27,-105.5478211,38.9985316,-94.1983056,46.34911038,01/01/2019,684,10325
8,28,-105.5478211,38.9985316,-89.65335941,32.71289227,01/01/2019,128,1932
8,29,-105.5478211,38.9985316,-92.4774252,38.36763044,01/01/2019,933,14084
8,30,-105.5478211,38.9985316,-109.645207,47.03342111,01/01/2019,342,5162
8,31,-105.5478211,38.9985316,-99.81085586,41.52715113,01/01/2019,980,14793
8,32,-105.5478211,38.9985316,-116.6552487,39.35618587,01/01/2019,1449,21873
8,33,-105.5478211,38.9985316,-71.57124317,43.68023706,01/01/2019,67,1011
8,34,-105.5478211,38.9985316,-74.65561231,40.11017985,01/01/2019,349,5268
8,35,-105.5478211,38.9985316,-106.1084439,34.42130099,01/01/2019,1622,24485
8,36,-105.5478211,38.9985316,-75.59654322,42.92123355,01/01/2019,1048,15820
8,37,-105.5478211,38.9985316,-79.13090892,35.52603039,01/01/2019,524,7910
8,38,-105.5478211,38.9985316,-100.4693908,47.44631042,01/01/2019,126,1902
8,39,-105.5478211,38.9985316,-82.70937701,40.41548691,01/01/2019,514,7759
8,40,-105.5478211,38.9985316,-97.50822793,35.58346465,01/01/2019,768,11593
8,41,-105.5478211,38.9985316,-120.6052563,43.94045139,01/01/2019,392,5917
8,42,-105.5478211,38.9985316,-77.83893801,40.89670051,01/01/2019,522,7879
8,44,-105.5478211,38.9985316,-71.52472356,41.5946389,01/01/2019,27,407
8,45,-105.5478211,38.9985316,-80.86459716,33.87785607,01/01/2019,206,3109
8,46,-105.5478211,38.9985316,-100.2304655,44.43613759,01/01/2019,232,3502
8,47,-105.5478211,38.9985316,-86.34341233,35.84298014,01/01/2019,513,7744
8,48,-105.5478211,38.9985316,-99.31712097,31.44721219,01/01/2019,5246,79192
8,49,-105.5478211,38.9985316,-111.67825,39.32376871,01/01/2019,1412,21315
8,50,-105.5478211,38.9985316,-72.66263037,44.07524823,01/01/2019,54,815
8,51,-105.5478211,38.9985316,-78.66634949,37.5108731,01/01/2019,456,6883
8,53,-105.5478211,38.9985316,-120.5928999,47.41163922,01/01/2019,598,9027
8,54,-105.5478211,38.9985316,-80.6137069,38.6425671,01/01/2019,51,769
8,55,-105.5478211,38.9985316,-89.73293306,44.63994411,01/01/2019,438,6611
8,56,-105.5478211,38.9985316,-107.5513942,42.99953746,01/01/2019,1181,17828
8,72,-105.5478211,38.9985316,-66.41466678,18.21569834,01/01/2019,76,1147
9,1,-72.73825768,41.57516415,-86.844521,32.75687994,01/01/2019,37,663
9,2,-72.73825768,41.57516415,-151.5934219,63.74298902,01/01/2019,3,53
9,4,-72.73825768,41.57516415,-111.6644603,34.29309519,01/01/2019,172,3086
9,5,-72.73825768,41.57516415,-92.43923686,34.89977242,01/01/2019,10,179
9,6,-72.73825768,41.57516415,-119.6638459,37.21530826,01/01/2019,771,13833
9,8,-72.73825768,41.57516415,-105.5478211,38.9985316,01/01/2019,238,4270
9,9,-72.73825768,41.57516415,-72.73825768,41.57516415,01/01/2019,295056,5293907
9,10,-72.73825768,41.57516415,-75.45249263,38.99497529,01/01/2019,88,1578
9,11,-72.73825768,41.57516415,-77.0162909,38.90477389,01/01/2019,141,2529
9,12,-72.73825768,41.57516415,-82.46641839,28.47705841,01/01/2019,3699,66367
9,13,-72.73825768,41.57516415,-83.42714021,32.63861711,01/01/2019,285,5113
9,15,-72.73825768,41.57516415,-158.1099738,20.9951112,01/01/2019,110,1973
9,16,-72.73825768,41.57516415,-114.659414,44.38905509,01/01/2019,22,394
9,17,-72.73825768,41.57516415,-89.14863899,40.12420083,01/01/2019,292,5239
9,18,-72.73825768,41.57516415,-86.28183839,39.91986962,01/01/2019,118,2117
9,19,-72.73825768,41.57516415,-93.50009012,42.07464833,01/01/2019,12,215
9,20,-72.73825768,41.57516415,-98.3801554,38.48472707,01/01/2019,35,627
9,21,-72.73825768,41.57516415,-85.29055223,37.52661417,01/01/2019,47,843
9,22,-72.73825768,41.57516415,-91.81423318,30.9090729,01/01/2019,104,1865
